0 | claude | account_access | False
1 | hackerrank | general_query | False
2 | visa | billing_issue | True
3 | hackerrank | billing_issue | True
4 | hackerrank | billing_issue | True
5 | hackerrank | general_query | False
6 | hackerrank | bug_report | False
7 | hackerrank | general_query | False
8 | hackerrank | bug_report | False
9 | hackerrank | general_query | False
10 | hackerrank | general_query | False
11 | general | bug_report | False
12 | hackerrank | general_query | False
13 | hackerrank | general_query | False
14 | claude | bug_report | False
15 | visa | general_query | False
16 | hackerrank | general_query | False
17 | hackerrank | general_query | False
18 | visa | general_query | False
19 | claude | bug_report | False
20 | claude | general_query | False
21 | visa | general_query | True
22 | claude | general_query | False
23 | general | general_query | False
24 | visa | fraud | True
25 | claude | bug_report | False
26 | hackerrank | general_query | False
27 | claude | general_query | False
28 | visa | general_query | False
